物件番号,物件名,取引種別,物件種別,募集状況,都県,エリア（市区）,所在地,交通,月額賃料(円),共益費(円),敷金(ヶ月),礼金(ヶ月),販売価格(円),表面利回り(%),権利形態,契約期間,面積(坪),階数,建物階数,築年,構造,用途地域,建ぺい率(%),容積率(%),私道負担,建築確認番号,こだわり条件,用途,入居可能時期・引渡し時期,情報更新日,物件説明
CMP-1001,神田三崎町 1階路面店舗（居抜き）,賃貸,店舗,募集中,東京都,千代田区,東京都千代田区神田三崎町三丁目4番9号,JR中央・総武線|水道橋|3;都営三田線|水道橋|5,480000,35000,10,0,,,,2年（定期借家）,22.4,1F,8,1998,SRC造,,,,,,1階路面;居抜き;飲食可;看板設置可;駅徒歩5分以内,飲食店;物販;サービス,即入居可,2026-07-30,水道橋駅から徒歩3分、大学・オフィスが集積するエリアの1階路面店舗です。前テナントは和食業態で、厨房設備・ダクトを居抜きで引き継げるため初期投資を抑えた出店が可能です。間口が広く視認性に優れ、平日はオフィスワーカーと学生、週末は東京ドーム周辺の来街者を取り込めます。
CMP-1002,丸の内 ハイグレードオフィス 6F,賃貸,オフィス,募集中,東京都,千代田区,東京都千代田区丸の内二丁目,JR各線|東京|4;東京メトロ千代田線|二重橋前|2,3850000,0,12,0,,,,3年（普通借家）,110,6F,22,2015,S造,,,,,,駅徒歩5分以内;エレベーターあり;24時間利用可;空調更新済,事務所,2026年10月,2026-07-12,"東京駅から徒歩4分、丸の内エリアのハイグレードビル6階フロアです。無柱空間で天井高2,800mm、OAフロア100mm、個別空調。共用部のグレードが高く、来訪の多い企業の本社機能に適します。基準階一括での賃貸が可能です。"
CMP-1003,銀座並木通り 2F 路面近接店舗,賃貸,店舗,商談中,東京都,中央区,東京都中央区銀座六丁目,東京メトロ銀座線|銀座|2;JR山手線|有楽町|7,1650000,120000,12,0,,,,5年（定期借家）,34.8,2F,9,2006,S造,,,,,,飲食可;看板設置可;駅徒歩5分以内;エレベーターあり,飲食店;物販;クリニック,相談,2026-07-07,銀座並木通りに面したビルの2階区画。1階エントランスからの視認性が高く、外部看板の設置が可能です。ハイブランド路面店が並ぶ通りで、ブランド発信を伴う出店に適したロケーションです。
CMP-1004,西新宿 セットアップオフィス 11F,賃貸,オフィス,募集中,東京都,新宿区,東京都新宿区西新宿六丁目,都営大江戸線|都庁前|4;JR各線|新宿|9,1420000,96000,10,0,,,,2年（普通借家）,58.2,11F,20,2011,SRC造,,,,,,セットアップ;エレベーターあり;24時間利用可;空調更新済,事務所,即入居可,2026-07-29,会議室3室・執務席48席・フリーアドレスエリアを備えたセットアップオフィス。内装・什器付きのため、工事期間なしで事業を開始できます。新宿中央公園を望む眺望。
CMP-1005,青山通り 路面区画（スケルトン）,賃貸,店舗,募集中,東京都,港区,東京都港区北青山三丁目,東京メトロ銀座線|表参道|3;東京メトロ半蔵門線|表参道|3,2200000,150000,12,2,,,,2年（普通借家）,41.5,1F,5,2003,RC造,,,,,,1階路面;スケルトン;飲食可;看板設置可;駅徒歩5分以内,物販;飲食店;サービス,2026年9月,2026-06-27,"青山通り沿い、表参道交差点から徒歩圏の1階路面区画です。スケルトン渡しのため、ブランドの世界観に合わせた自由な設計が可能。ファサードの間口8.5m、天井高3,600mm。"
CMP-1006,渋谷宮益坂 飲食居抜き 地下1F,賃貸,店舗,募集中,東京都,渋谷区,東京都渋谷区渋谷一丁目,JR各線|渋谷|5;東京メトロ銀座線|渋谷|4,620000,40000,10,0,,,,2年（普通借家）,28,B1F,6,1991,SRC造,,,,,,居抜き;飲食可;深夜営業可;駅徒歩5分以内,飲食店;バー,即入居可,2026-06-22,宮益坂沿いのビル地下1階、バー業態の居抜き区画です。カウンター・厨房・音響設備をそのまま引き継げます。深夜営業可、周辺は夜間人口の多いエリアです。
CMP-1007,五反田 バックオフィス向け 8F,賃貸,オフィス,募集中,東京都,品川区,東京都品川区西五反田二丁目,JR山手線|五反田|6;東急池上線|大崎広小路|4,780000,62000,10,0,,,,2年（定期借家）,46,8F,10,2004,S造,,,,,,エレベーターあり;空調更新済;24時間利用可,事務所,2026年8月,2026-06-17,五反田駅から徒歩6分、コストバランスに優れたオフィス区画です。ワンフロア貸しで間仕切りなし、OAフロア対応。スタートアップの拡張移転やバックオフィス集約に適します。
CMP-1008,江東区新木場 物流倉庫（低温対応）,賃貸,倉庫・工場,募集中,東京都,江東区,東京都江東区新木場二丁目,JR京葉線|新木場|12,2850000,0,6,0,,,,2年（普通借家）,310,1F,3,2009,S造,,,,,,24時間利用可;駐車場あり,倉庫;軽作業,2026年11月,2026-06-12,首都高速湾岸線 新木場ICから約1.5km。荷捌きスペースと大型車の接車バースを確保。一部低温区画あり、床荷重1.5t/m²、有効天井高5.5m。24時間稼働可能です。
CMP-1009,池袋東口 2F 物販・サービス区画,賃貸,店舗,募集中,東京都,豊島区,東京都豊島区南池袋一丁目,JR各線|池袋|3;東京メトロ有楽町線|東池袋|6,890000,70000,10,1,,,,3年（普通借家）,37.2,2F,7,2000,S造,,,,,,駅徒歩5分以内;エレベーターあり;看板設置可,物販;サービス;スクール,即入居可,2026-06-07,池袋東口の繁華街に位置する2階区画。1階に飲食テナントが入る視認性の高いビルで、サロン・スクール・クリニック等の集客型サービス業態に適します。
CMP-1010,浅草雷門通り 一棟ビル（4層）,賃貸,一棟ビル,募集中,東京都,台東区,東京都台東区雷門二丁目,東京メトロ銀座線|浅草|4;都営浅草線|浅草|5,2400000,0,12,0,,,,2年（普通借家）,96,1F-4F,4,1996,RC造,,,,,,1階路面;飲食可;看板設置可;駅徒歩5分以内,飲食店;物販;宿泊,相談,2026-07-31,雷門通りに面した4層の一棟貸しビルです。インバウンド需要の高いエリアで、飲食・物販の複合利用や宿泊業態への転用実績のある立地。1階は路面店舗として運用可能です。
CMP-1011,中目黒 高架下 小規模路面店舗,賃貸,店舗,募集中,東京都,目黒区,東京都目黒区上目黒一丁目,東急東横線|中目黒|2;東京メトロ日比谷線|中目黒|2,385000,25000,10,0,,,,2年（普通借家）,14.6,1F,1,2016,S造,,,,,,1階路面;スケルトン;飲食可;駅徒歩5分以内,飲食店;物販,即入居可,2026-05-28,中目黒駅から徒歩2分、感度の高い個店が集まるエリアの小規模路面区画です。10〜16坪の業態に適したサイズ感で、テイクアウト主体のカフェやベーカリーの出店に向いています。
